buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,2.079442,2.639057,1.420196,6.802395,0,0,0,0,0,0,0.693147,0.693147,0
clean,clean,clean,clean,1.386294,1.386294,1.609438,0.909415,0.072196,0.053786,4.950531,0,0.693147,0.10436,0.223144,1.098612,1.098612,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.021053,5.799093,0,0.693147,0.65752,0.693147,1.386294,1.383791,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.693147,0.693147,0,0.693147,0.65752,0.693147,1.609438,1.607436,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.074108,0,4.369448,0,0.693147,0.65752,0.693147,1.791759,1.790091,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.02353,0.007905,4.844187,0,0.693147,0.65752,0.693147,1.94591,1.944481,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.068993,0.007117,4.94876,0,0.693147,0.65752,0.693147,2.079442,2.078191,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.324661,0,4.304065,0,0.693147,0.65752,0.693147,2.197225,2.196113,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.401197,0,0,0,0,0,0,2.302585,2.301585,2.079442
buggy,clean,buggy,buggy,0.693147,1.098612,2.197225,1.265868,1.143786,0.039559,3.363149,0,0.693147,0.207014,0.122218,2.397895,2.396986,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.081917,0.024098,4.418841,0,0.693147,0.662688,0.693147,2.484907,2.484073,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.693147,0.006024,0,5.114995,0,0.693147,0.662688,0.405465,2.564949,2.56418,1.098612
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.937892,0.034938,0.017622,4.330733,0,0.693147,0.530628,0.512824,2.639057,2.638343,2.302585
clean,clean,clean,clean,1.609438,1.791759,1.94591,1.185084,0.027483,0.02144,5.090678,0,0.693147,0.593327,0.512824,0,0,0
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.554947,0.208297,0.042925,5.655992,0,0.693147,0.832909,0.405465,0.693147,0.693147,0
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.69291,0.126867,0.051776,4.649187,0,0.693147,1.022451,0.405465,2.70805,2.70538,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.065847,0.060933,5.257495,0,0.693147,1.040277,0.693147,2.772589,2.770086,1.098612
clean,clean,clean,buggy,0.693147,0.693147,0.693147,0,0.005,0.002503,5.991465,0,0.693147,1.095273,0.693147,2.833213,2.830268,2.397895
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.488636,0,0,0,0,0,0,2.890372,2.88759,2.484907
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.001549,0.001549,6.4708,0,0.693147,1.115142,0.693147,2.944439,2.941804,2.564949
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,0.025752,0.008658,4.75359,0,0.693147,1.118415,0.693147,2.995732,2.993229,2.639057
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.004751,0.004751,6.042633,0,1.098612,0.828552,1.098612,1.098612,1.095273,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.028749,0.03279,5.484797,0,0.693147,1.348073,0.693147,3.044522,3.040228,2.70805
buggy,clean,clean,clean,0.693147,1.791759,2.772589,1.456904,0.388634,0.04613,3.862833,0,0.693147,0.900161,0.122218,3.091042,3.086943,2.772589
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.024491,0.024491,4.804021,0,0.693147,1.48614,0.693147,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.033638,0.005249,5.942799,0,0.693147,1.501853,0.693147,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.015229,0.037646,5.971262,0,1.098612,0.00995,1.098612,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.710786,0.270849,0,5.524137,0,0.693147,0.783902,0.285179,1.098612,1.098612,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00194,0.000647,7.343426,0,0.693147,1.534714,0.693147,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.007843,0.007843,5.541264,0,0.693147,1.545433,0.693147,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.006579,0.0011,6.813445,0,0.693147,1.574846,0.693147,3.135494,3.128951,2.833213
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.019915,0.002869,5.855072,0,1.098612,1.332366,1.098612,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.914257,0.017241,0.02998,4.352469,0,1.098612,1.363537,0.845868,3.178054,3.171365,2.890372
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.006192,5.777652,0,0.693147,1.401183,1.098612,3.218876,3.212455,2.944439
buggy,clean,buggy,buggy,0.693147,1.098612,1.94591,1.131699,0.134286,0.040242,4.934474,0,0.693147,1.609438,0.157004,3.258097,3.251924,2.995732
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.370638,0,0,0,0,0,0,3.295837,3.289521,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.016394,4.804021,0,1.098612,0.615186,1.098612,0,0,0
buggy,clean,clean,clean,0.693147,0.693147,2.484907,1.45682,1.311931,0.494328,2.492379,0,0.693147,1.238374,0.086178,0.693147,0.693147,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.008996,0,5.808142,0,0.693147,1.704748,0.693147,1.098612,1.098612,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.216282,0.46024,0,3.95757,0,0.693147,0.00995,0.285179,1.386294,1.386294,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.070618,0.004866,5.327876,0,0.693147,2.032088,0.693147,1.098612,1.091923,0
buggy,clean,buggy,buggy,0.693147,1.94591,3.091042,1.496777,0.13314,0.03407,5.024801,0,0.693147,1.788421,0.09531,3.332205,3.319264,3.044522
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.102084,5.370638,0,0.693147,2.060514,0.693147,3.367296,3.354455,0.693147
buggy,clean,clean,clean,0.693147,0.693147,1.098612,0.617074,4.94876,0,0,0,0,0,0,3.401197,3.38845,3.091042
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.005177,0.001729,6.361302,0,0.693147,0.157004,1.386294,3.433987,3.421653,3.135494
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.005249,0.005249,5.252273,0,0.693147,2.076938,0.693147,1.791759,1.78507,0.693147
buggy,buggy,buggy,buggy,0.693147,1.791759,2.564949,1.330253,0.233526,0.020105,4.46786,0,1.098612,1.506297,0.223144,3.465736,3.45379,3.178054
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.944186,0,0.69318,3.938275,0,0.693147,2.079442,0.285179,3.496508,3.484926,3.218876
clean,clean,clean,clean,0.693147,2.197225,2.397895,1.032886,0.042957,0.088812,5.06386,0,1.098612,0.14842,0.405465,1.94591,1.938742,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.033902,0.033902,3.401197,0,0.693147,2.081938,1.098612,2.079442,2.073172,0
clean,clean,clean,clean,0.693147,0.693147,1.609438,0.908738,4.844187,0,0,0,0,0,0,2.197225,2.191654,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.70953,0,0,0,0,0,0,2.302585,2.297573,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0,0,0,0,0,0,2.397895,2.393339,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.009649,0.010929,7.344719,0,1.098612,1.506297,1.098612,2.484907,2.480731,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.017422,0.008749,6.345636,0,0.693147,2.099244,0.693147,2.564949,2.561096,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.148263,0.013606,5.393628,0,1.098612,0.652325,1.098612,1.386294,1.381282,0.693147
