buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,0.693147,2.397895,3.7612,1.804169,7.738924,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.609438,3.044522,3.7612,0,0,0,4.018902,0,0.693147,0,0.019803,0.693147,0.693147,0.693147
buggy,clean,clean,clean,0.693147,1.791759,2.397895,1.354662,0.224512,0.075819,4.084294,0,0.693147,0.058269,0.182322,1.098612,1.098612,0.693147
buggy,clean,clean,clean,0.693147,1.386294,2.639057,1.404755,0.355538,0.152713,3.991758,0,0.693147,0.04879,0.207014,1.386294,1.386294,1.098612
clean,clean,clean,clean,1.386294,1.386294,1.386294,0.16772,0.333151,0.00464,4.972102,0,0.693147,0.058269,0.512824,1.609438,1.609438,1.098612
clean,clean,clean,clean,0.693147,1.098612,1.791759,1.024747,0.263264,0.037307,4.239887,0,0.693147,0.00995,0.587787,1.791759,1.791759,1.386294
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.622253,0.024342,0.004098,5.499215,0,0.693147,0.039221,1.386294,1.94591,1.94591,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.123233,0.098782,5.214936,0,0.693147,0.019803,1.94591,2.079442,2.079442,1.791759
clean,clean,clean,clean,1.098612,1.791759,1.94591,1.147031,0.235192,0.121144,4.204693,0,0.693147,0.122218,0.512824,2.197225,2.197225,2.197225
buggy,clean,buggy,buggy,0.693147,1.94591,2.302585,1.037655,0.929627,0.074328,3.571221,0,0.693147,0.04879,0.444686,0,0,0
buggy,clean,clean,clean,0.693147,1.386294,1.386294,0.823425,0.136683,0,4.890349,0,0.693147,0.09531,1.202972,2.302585,2.302585,2.079442
buggy,clean,clean,clean,0.693147,1.791759,2.197225,1.173157,0.249655,0.115015,3.936716,0,1.098612,0.09531,0.81093,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.039221,0.039221,3.258097,0,1.098612,0.039221,1.386294,0,0,0
clean,clean,clean,clean,0.693147,1.791759,2.079442,1.210353,0.223157,0.075765,4.138521,0,1.098612,0.086178,0.693147,1.098612,1.098612,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.295837,0,0,0,0,0,0,1.386294,1.386294,1.386294
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.109854,0.185501,0,5.062595,0,0.693147,0.10436,1.098612,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.0113,0.0113,4.488636,0,1.098612,0.00995,1.609438,2.397895,2.396986,2.197225
clean,clean,clean,clean,0.693147,1.386294,2.079442,1.204197,0.951519,0.066189,3.337192,0,0.693147,0.058269,0.451076,2.484907,2.484073,1.386294
clean,clean,clean,clean,1.098612,1.609438,2.944439,1.471472,0.155945,0.062048,4.065259,0,1.098612,0.277632,0.444686,1.609438,1.609438,1.609438
