buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.313206,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.098612,2.302585,2.397895,0.822767,0.113822,0.109725,7.09116,0,0.693147,3.370738,0.09531,0,0,0
clean,clean,clean,clean,1.098612,2.302585,2.302585,1.224784,0.003307,0.008074,7.151227,0,1.098612,0.00995,0.198851,0.693147,0.693147,1.098612
buggy,clean,clean,clean,1.098612,1.94591,1.94591,0.983201,0.005866,0.001837,7.50329,0,1.098612,1.521699,0.604316,1.609438,1.601406,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.04909,0.04909,5.765191,0,1.098612,1.576915,1.609438,1.791759,1.78507,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.496508,0,0,0,0,0,0,1.94591,1.940179,1.386294
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.367799,0.058874,0.077753,6.04382,0,1.098612,1.788421,1.252763,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.009983,5.703782,0,1.098612,2.068128,1.098612,0.693147,0.693147,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.000962,0.002883,6.946976,0,1.098612,2.070653,1.098612,0,0,0
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.61267,0.064539,0.064539,4.424847,0,1.098612,2.083185,0.693147,0.693147,0.693147,0.693147
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.571945,0.06462,0.002614,5.948035,0,1.386294,0.076961,1.252763,1.098612,1.098612,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.001618,0.001618,7.119636,0,1.098612,2.201659,1.098612,1.098612,1.095273,0.693147
