buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.267858,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.098612,1.098612,2.397895,1.289304,6.331502,0,0,0,0,0,0,0.693147,0.688135,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.609438,1.076142,5.231109,0,0,0,0,0,0,1.098612,1.095273,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.229574,0.176931,3.465736,0,0.693147,0.371564,0.693147,0,0,0
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.693147,0.702197,0.693147,4.025352,0,0.693147,0.438255,0.693147,0.693147,0.693147,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0.693147,5.556828,0,0.693147,0.512824,0.693147,1.386294,1.386294,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,1.335001,0.693147,2.397895,0,0.693147,0.631272,0.693147,1.609438,1.609438,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.369448,0,0,0,0,0,0,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.993252,0,2.397895,0,1.386294,0.019803,1.386294,0,0,0
clean,clean,clean,clean,0.693147,1.609438,2.079442,1.13397,0.383178,0.108435,4.587922,0,0.693147,0.04879,0.254642,1.098612,1.098612,1.098612
clean,clean,clean,clean,0.693147,1.386294,1.609438,0.834256,0.753772,0.016,4.143135,0,1.386294,0.058269,0.559616,0.693147,0.693147,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.019231,0.014458,5.332719,0,1.386294,0.131028,1.386294,1.386294,1.386294,1.386294
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.849411,0.048961,0.003578,4.543295,0,1.386294,0.231112,0.845868,1.609438,1.609438,1.791759
clean,clean,clean,clean,0.693147,1.098612,1.609438,1.077661,6.582025,0,0,0,0,0,0,1.791759,1.791759,1.791759
buggy,buggy,buggy,buggy,0.693147,1.791759,2.397895,1.335398,0.473358,0.06151,4.543295,0,1.386294,0.285179,0.262364,1.94591,1.944481,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.003868,0.003868,5.556828,0,1.386294,0.113329,1.609438,2.079442,2.078191,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.24686,0.14842,3.258097,0,1.098612,0.444686,1.098612,1.791759,1.790091,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.251314,0.133531,3.367296,0,1.386294,0.00995,1.386294,1.94591,1.944481,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.347108,0,0,0,0,0,0,2.079442,2.078191,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.007722,0.015385,5.556828,0,1.386294,0.029559,1.791759,2.197225,2.196113,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.018958,0.004773,5.347108,0,0.693147,0.04879,0.693147,0,0,0
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.687431,5.446737,0,0,0,0,0,0,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.121361,0,3.465736,0,1.386294,0.524729,1.386294,2.302585,2.301585,0.693147
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.042169,0.375094,0.375094,5.459586,0,1.609438,0.09531,1.609438,2.397895,2.396986,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.003899,0.003899,5.549076,0,1.386294,0,2.079442,2.484907,2.484073,2.079442
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,1.073611,0.341749,3.332205,0,1.609438,0.553885,1.609438,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.034486,0.034486,4.060443,0,1.098612,0.576613,1.098612,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.632288,5.78996,0,0,0,0,0,0,1.098612,1.098612,0
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.594033,0.017392,0.051293,4.060443,0,1.386294,0.392042,1.098612,1.386294,1.386294,1.098612
clean,clean,clean,clean,1.098612,1.098612,1.791759,0.964768,0.270464,0.582634,4.519612,0,1.791759,0.494696,1.280934,1.609438,1.609438,1.609438
clean,clean,clean,clean,0.693147,1.098612,1.94591,1.108833,5.866468,0,0,0,0,0,0,1.791759,1.791759,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.330733,0,0,0,0,0,0,1.94591,1.94591,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,6.622736,0,0,0,0,0,0,2.079442,2.079442,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00266,0.00266,6.622736,0,0.693147,0,0.693147,2.197225,2.197225,1.791759
clean,clean,clean,clean,0.693147,1.791759,3.931826,1.893116,4.324133,0.693147,0.693147,0,1.386294,0.652325,0.058269,2.197225,2.196113,2.079442
clean,clean,clean,clean,0.693147,1.386294,1.791759,1.036847,6.139885,0,0,0,0,0,0,2.302585,2.302585,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.111988,0,0,0,0,0,0,2.397895,2.397895,2.079442
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.03279,0.03279,4.110874,0,0.693147,0.113329,0.693147,2.484907,2.484907,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.717245,0.09309,3.73767,0,1.609438,0.19062,2.302585,2.302585,2.300583,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.019608,0.009852,4.624973,0,0.693147,0.371564,0.693147,2.397895,2.396075,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.201637,0.031416,4.553877,0,0.693147,0.438255,0.693147,2.484907,2.483239,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.047179,0.023867,5.337538,0,1.386294,0.727549,1.609438,2.564949,2.56341,2.397895
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.650067,5.953243,0,0,0,0,0,0,1.098612,1.095273,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.609438,1.082269,1.350276,0.498486,3.988984,0,1.098612,0.14842,0.559616,2.639057,2.636912,2.484907
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.008,0.008,5.521461,0,0.693147,0.378436,0.693147,2.70805,2.706048,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.787492,0,0,0,0,0,0,2.772589,2.770712,2.564949
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.68624,0.113687,0.070998,5.013963,0,1.386294,0.542324,1.252763,1.386294,1.383791,1.098612
clean,clean,clean,clean,0.693147,1.791759,2.197225,1.191207,0.27336,0.18289,4.984497,0,1.386294,0.850151,0.322083,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.007752,0.007752,5.55296,0,0.693147,0.182322,0.693147,1.609438,1.607436,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.117783,0.014771,5.820083,0,0.693147,0.854415,1.098612,1.791759,1.790091,1.609438
clean,clean,clean,clean,0.693147,1.098612,1.791759,0.899157,0.060946,0.01177,5.396351,0,0.693147,0.48858,0.587787,2.564949,2.56341,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.025352,0,0,0,0,0,0,2.639057,2.637628,2.397895
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,5.123964,0,0,0,0,0,0,2.70805,2.706716,2.484907
clean,clean,clean,clean,0.693147,0.693147,1.791759,1.194656,6.947937,0,0,0,0,0,0,2.772589,2.771338,2.564949
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.630187,5.560682,0,0,0,0,0,0,2.833213,2.832036,2.639057
clean,clean,clean,clean,0.693147,1.791759,2.639057,1.517934,2.482038,0.023958,2.616666,0,0.693147,0.04879,0.076961,2.890372,2.88926,2.70805
clean,clean,clean,clean,0.693147,1.098612,1.791759,1.170719,6.610696,0,0,0,0,0,0,2.944439,2.943386,2.772589
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.663439,0,0,0,0,0,0,2.995732,2.994732,2.833213
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.026668,0.026668,4.317488,0,1.791759,0.565314,1.94591,2.564949,2.561868,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.025352,0,0,0,0,0,0,3.044522,3.04357,2.890372
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00554,0.00554,5.198497,0,0.693147,0.029559,0.693147,3.091042,3.089678,2.944439
clean,clean,clean,clean,0.693147,1.098612,2.197225,1.373761,6.854355,0,0,0,0,0,0,3.135494,3.134189,2.995732
