buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,1.098612,1.386294,3.465736,1.623151,9.070963,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.001478,0.001478,6.517671,1,0.693147,1.391282,0.693147,0,0,0
clean,clean,clean,clean,0.693147,1.098612,2.639057,1.407772,0.026553,0.026553,6.164451,0,1.098612,2.692598,0.139762,0.693147,0.672944,0.693147
buggy,clean,clean,clean,0.693147,1.098612,2.890372,1.490654,0.050692,0.050692,6.121966,0,1.098612,1.96851,0.165514,1.098612,1.081805,1.098612
buggy,clean,buggy,buggy,1.098612,1.386294,3.433987,1.52027,0.270957,0.144364,5.616298,0,1.098612,2.193886,0.122218,1.386294,1.363537,1.386294
buggy,clean,buggy,buggy,1.386294,1.609438,3.637586,1.611703,0.340919,0.129958,5.510036,0,1.098612,2.450143,0.131028,1.609438,1.564441,1.791759
buggy,clean,clean,clean,0.693147,1.098612,2.484907,1.290342,0.063321,0.038307,6.456063,0,0.693147,2.00148,0.371564,1.791759,1.745716,1.791759
buggy,clean,buggy,buggy,0.693147,1.098612,3.258097,1.56088,0.148801,0.122173,5.971058,0,1.098612,2.012233,0.24686,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,1.94591,0,0,0,0,0,0,0.693147,0.693147,0
clean,clean,clean,clean,1.098612,1.098612,1.791759,0.956019,0.042447,0.022774,5.001258,0,1.098612,2.162173,0.875469,1.098612,1.091923,1.098612
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.269678,0.007605,0.002932,6.748173,0,1.098612,1.075002,1.704748,1.386294,1.381282,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002642,0.002642,5.937536,1,0.693147,3.33577,1.609438,1.94591,1.884035,1.94591
clean,clean,clean,clean,1.098612,1.098612,1.609438,0.970646,0.020354,0.019824,6.829794,0,1.098612,1.420696,1.252763,1.609438,1.60543,1.94591
buggy,clean,clean,clean,1.098612,1.098612,1.386294,0.487033,0.146352,0.111335,6.870396,0,1.098612,0.371564,1.541159,1.791759,1.786747,2.197225
clean,clean,clean,clean,1.098612,1.386294,2.079442,0.8872,0.291284,0.091568,5.294008,0,1.098612,1.316408,0.996949,1.94591,1.941615,2.397895
buggy,clean,buggy,buggy,1.098612,1.098612,2.833213,1.517483,0.019846,0.015276,6.337498,0,1.098612,1.903599,0.631272,2.079442,2.073172,2.564949
buggy,clean,clean,clean,1.098612,1.098612,1.791759,1.079175,0.060239,0.02655,6.364406,0,1.098612,0.19062,1.335001,2.197225,2.191654,2.70805
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.594033,0.017622,0,4.731803,0,1.098612,2.287471,1.704748,2.302585,2.29556,2.197225
clean,clean,clean,clean,0.693147,0.693147,1.098612,0,0,0,4.919981,0,1.098612,2.244956,0.693147,2.397895,2.391511,0.693147
buggy,clean,clean,clean,1.386294,1.609438,1.609438,0.600955,0.027493,0.010399,6.221087,0,1.098612,1.12493,1.609438,2.484907,2.478218,2.890372
buggy,clean,buggy,buggy,0.693147,1.098612,3.218876,1.303853,0.187365,0.064639,5.95423,0,1.386294,2.236445,0.48858,2.564949,2.547099,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.09531,0,3.044522,0,0.693147,1.754404,2.397895,2.639057,2.622492,2.397895
buggy,clean,buggy,buggy,1.098612,1.386294,2.484907,1.205567,0.10626,0.017982,6.425307,0,1.098612,1.631199,1.004302,2.70805,2.681022,3.091042
buggy,clean,clean,clean,0.693147,0.693147,1.386294,0.922917,0.397572,0.220776,4.054737,0,0.693147,0.04879,0.285179,2.772589,2.747271,2.484907
buggy,clean,buggy,buggy,1.386294,1.609438,3.218876,1.421937,0.125695,0.087749,6.104883,0,1.386294,2.045109,0.631272,2.833213,2.805782,3.258097
buggy,clean,clean,clean,1.386294,1.386294,1.609438,0.981018,0.023642,0.031786,6.44254,0,1.098612,0.652325,1.832581,2.890372,2.862201,3.367296
buggy,clean,buggy,buggy,1.386294,1.609438,3.555348,1.614069,0.154447,0.071405,5.917145,0,1.386294,2.631889,0.536493,2.944439,2.90252,3.465736
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.279718,0.009662,0.005282,6.341241,1,1.098612,0.157004,2.525729,2.995732,2.955951,3.433987
buggy,clean,buggy,buggy,1.098612,1.098612,1.791759,0.772587,0.909488,0.634242,4.558079,0,1.098612,2.791165,1.526056,3.044522,3.006178,3.496508
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.138499,0.017721,0.011036,6.6995,0,1.098612,0.71295,2.60269,3.091042,3.052113,3.555348
buggy,clean,buggy,buggy,1.098612,1.386294,2.564949,1.411163,4.120268,0,1.321756,0,0.693147,0.113329,0.916291,3.135494,3.094672,3.610918
buggy,clean,buggy,buggy,1.609438,1.791759,2.833213,1.472729,0.061984,0.022533,5.909441,0,1.098612,1.663926,1.011601,3.178054,3.137666,3.806662
buggy,clean,clean,clean,1.098612,1.386294,2.079442,1.082568,0.200668,0.028551,5.606868,0,1.098612,2.282382,1.637053,3.218876,3.179719,3.713572
buggy,clean,buggy,buggy,1.098612,1.386294,3.555348,1.63716,0.057297,0.060044,6.028206,0,1.386294,2.641198,0.662688,2.079442,1.965713,2.197225
buggy,clean,buggy,buggy,0.693147,0.693147,0.693147,0,5.303305,0,0,0,0,0,0,2.197225,2.095561,2.197225
clean,clean,clean,clean,0.693147,1.386294,2.197225,1.386294,0,0.004398,5.428819,0,0.693147,2.020222,0.405465,2.302585,2.208274,2.302585
clean,clean,clean,buggy,1.098612,1.609438,2.197225,1.223069,0.064925,0.040099,5.575002,0,1.098612,2.274186,1.178655,2.397895,2.310553,2.564949
clean,clean,clean,clean,1.386294,1.386294,2.197225,1.12983,0.023417,0.006806,6.800036,0,1.098612,2.161022,1.585145,3.258097,3.193353,3.871201
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.925024,0.002984,0.002984,6.325559,0,1.098612,1.521699,2.427454,0,0,0
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.790038,0.154151,0.266629,3.89182,0,1.386294,1.667707,2.233235,3.295837,3.22843,3.806662
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.638133,0.010961,0.001159,6.355535,0,1.386294,1.94591,2.512035,0.693147,0.693147,1.098612
buggy,clean,buggy,buggy,1.386294,2.079442,3.178054,1.543249,0.200753,0.008264,5.630136,0,1.386294,2.04122,0.95935,3.332205,3.261169,3.912023
clean,clean,clean,clean,1.386294,1.386294,1.94591,1.023544,0.020442,0.018601,6.566912,0,1.386294,2.123458,1.921325,1.098612,1.091923,1.609438
clean,clean,clean,clean,1.098612,1.098612,1.94591,0.943731,0.031399,0.02159,5.699875,0,1.609438,2.11746,1.991976,3.367296,3.289521,3.89182
buggy,clean,buggy,buggy,1.098612,1.609438,2.564949,1.390067,0.21655,0.017843,5.989162,0,1.386294,1.153732,1.427916,1.386294,1.373716,1.94591
clean,clean,clean,clean,1.098612,1.386294,1.386294,0.665077,1.424181,0,2.908539,0,1.386294,0.00995,2.397895,1.609438,1.599388,2.197225
buggy,clean,buggy,buggy,1.098612,1.609438,2.079442,0.712023,0.097966,0.002,5.879723,0,1.386294,2.596746,1.903599,3.401197,3.318902,3.931826
buggy,clean,buggy,buggy,1.098612,1.386294,2.944439,1.437928,0.04732,0.021156,6.453625,0,1.609438,2.196113,1.22083,3.433987,3.347445,3.970292
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0,0,0,0,0,0,1.791759,1.771557,0
buggy,clean,clean,buggy,1.098612,1.098612,1.609438,0.833279,0.05958,0.030001,6.950336,0,1.386294,0.741937,2.442347,3.465736,3.37827,4.007333
clean,clean,clean,clean,1.609438,2.079442,3.496508,1.582019,2.316644,0.027782,2.805177,0,1.386294,1.272566,0.797507,1.94591,1.927164,2.484907
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.94971,0.197729,0,4.422809,0,1.098612,3.17346,0.982078,2.484907,2.35802,2.484907
buggy,clean,buggy,buggy,1.098612,1.098612,1.791759,1.066939,0.077094,0.047206,7.015712,0,1.386294,0.04879,2.302585,3.526361,3.441059,4.077537
buggy,clean,buggy,buggy,1.098612,1.386294,1.94591,1.033024,0.044997,0.028055,6.681695,0,1.386294,1.061257,2.159869,2.079442,2.055405,2.564949
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.367296,0,0,0,0,0,0,2.197225,2.175887,2.079442
clean,clean,clean,clean,1.098612,1.609438,1.791759,1.028816,0.080196,0.029385,4.621044,0,1.386294,0.631272,2.341806,2.302585,2.283402,2.772589
clean,clean,clean,clean,1.098612,1.386294,2.197225,0.943139,0.106418,0.076684,5.766382,0,1.386294,0.940007,1.771557,2.397895,2.380472,2.890372
clean,clean,clean,clean,1.098612,1.386294,1.386294,0.580904,0.075478,0.002131,6.43935,0,1.386294,0.067659,2.852439,3.555348,3.467609,4.110874
buggy,clean,buggy,buggy,1.098612,1.609438,2.302585,1.310075,0.188753,0.021996,6.053664,0,1.386294,1.091923,1.880991,3.583519,3.493777,4.143135
clean,clean,buggy,buggy,1.098612,1.386294,2.639057,1.330348,0.012343,0.012776,6.268073,0,1.609438,1.731656,1.625311,2.484907,2.461297,2.995732
buggy,clean,clean,clean,1.098612,1.098612,1.386294,0.758031,0.014199,0.014199,7.174977,0,1.386294,0.364643,2.890372,3.610918,3.520757,4.174387
buggy,clean,clean,clean,1.098612,1.609438,2.197225,1.211509,0.129988,0.028615,5.819727,0,1.386294,2.079442,1.998774,2.564949,2.535283,3.091042
buggy,clean,buggy,buggy,1.098612,1.386294,1.94591,1.18838,2.424686,0,2.551786,0,1.386294,0.371564,2.140066,2.639057,2.604909,3.178054
buggy,clean,clean,clean,1.098612,1.386294,1.386294,0.676195,0.07135,0.011555,6.448889,0,1.386294,1.371181,2.926918,2.70805,2.676215,3.258097
buggy,clean,buggy,buggy,1.098612,1.609438,2.70805,1.158842,0.123383,0.099647,6.597337,0,1.386294,2.324347,1.609438,3.637586,3.529591,4.204693
buggy,clean,clean,clean,1.386294,1.609438,2.484907,1.160159,0.08565,0.0782,6.333599,0,1.386294,2.302585,1.835776,2.772589,2.735665,3.401197
buggy,clean,buggy,clean,1.098612,1.609438,1.791759,0.920864,0.048991,0.058508,6.630419,0,1.386294,1.623341,2.533697,3.663562,3.557631,4.234107
buggy,clean,buggy,buggy,1.098612,1.386294,2.70805,1.192148,0.364538,0.235048,6.004776,0,1.386294,1.958685,1.65058,3.688879,3.571503,4.26268
buggy,clean,buggy,buggy,1.098612,1.609438,3.178054,1.620975,0.034969,0.031185,6.124027,0,1.386294,2.558776,1.294727,3.713572,3.598134,4.290459
clean,clean,clean,clean,1.098612,1.386294,1.609438,0.815144,0.094669,0.011101,6.055612,0,1.386294,0.482426,2.639057,3.73767,3.623541,4.317488
buggy,clean,buggy,buggy,1.098612,2.397895,4.025352,1.807008,0.075152,0.0387,4.994032,0,1.386294,2.972975,0.797507,3.7612,3.647536,4.343805
