buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.386294,2.397895,4.584967,1.815893,8.72502,0,0,0,0,0,0,0.693147,0.688135,0
clean,clean,clean,clean,1.098612,1.098612,1.098612,0,0,0,0,0,0.693147,0.067659,0.405465,1.098612,1.095273,1.098612
clean,clean,clean,clean,0.693147,1.791759,2.772589,1.531855,7.986845,0,0,0,0,0,0,1.609438,1.601406,1.386294
buggy,clean,clean,clean,1.386294,2.197225,2.564949,1.370531,0.01214,0.00811,6.065714,0,0.693147,0.019803,0.223144,1.94591,1.940179,2.197225
buggy,clean,buggy,buggy,0.693147,1.098612,1.386294,0.31365,0.05759,0.036721,6.159793,0,0.693147,0.058269,0.693147,2.079442,2.074429,1.94591
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,0.016598,0.012474,6.171701,0,0.693147,0.058269,1.609438,2.197225,2.19277,2.079442
clean,buggy,buggy,buggy,1.386294,1.609438,1.94591,1.063959,0.010292,0.019352,5.673323,0,0.693147,1.353255,0.604316,2.302585,2.291524,2.639057
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.021979,0.05757,4.912655,0,0.693147,1.366092,1.098612,2.397895,2.387845,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0,0,0,0,0,0,2.484907,2.475698,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.003617,5.624018,0,0.693147,0.04879,1.386294,2.564949,2.556452,1.609438
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.693147,0.026202,0.026202,4.736198,0,0.693147,1.376244,0.405465,2.639057,2.631169,2.302585
clean,clean,clean,clean,0.693147,2.302585,3.951244,1.838983,0,0.010775,5.28051,1,0.693147,1.363537,0.113329,2.70805,2.70069,2.397895
clean,clean,clean,clean,1.098612,1.098612,2.397895,0.877097,0.115014,0.053429,5.060694,0,0.693147,2.065596,0.09531,2.772589,2.76569,2.639057
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.01085,0,5.620401,0,0.693147,0.157004,1.609438,2.833213,2.826129,1.791759
