buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.098612,1.098612,2.890372,1.04608,7.069023,0,0,0,0.693147,0.708036,0.058269,0.693147,0.667829,0
clean,clean,clean,clean,0.693147,0.693147,1.386294,0,0,0.693197,3.53602,0,0.693147,1.938742,0.285179,1.098612,1.068153,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.255061,0.052644,5.693732,0,0.693147,2.29556,0.693147,1.386294,1.363537,0.693147
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,1.609438,1.591274,0
buggy,buggy,buggy,buggy,1.098612,1.386294,2.833213,1.376835,1.832179,0.005448,3.173041,0,0.693147,0.451076,0.122218,1.791759,1.756132,1.098612
clean,clean,clean,clean,0.693147,1.609438,1.94591,1.235535,0.008375,0.003053,5.389072,0,0.693147,1.745716,0.157004,1.94591,1.905088,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.098612,0,0,0,0,0,0.693147,2.516082,0.405465,2.079442,2.043814,1.098612
buggy,buggy,buggy,buggy,0.693147,1.94591,3.091042,1.50259,0.625125,0.159972,4.480627,0,0.693147,1.835776,0.09531,2.197225,2.152924,1.098612
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,1.098612,2.079442,1.336933,0.006176,0.006176,5.090247,0,0.693147,2.232163,0.357674,0.693147,0.688135,0
clean,buggy,buggy,buggy,0.693147,1.098612,1.098612,0.675262,0.416894,0.136759,4.077537,0,0.693147,1.640937,0.405465,1.098612,1.095273,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.543445,0.05506,0.00627,4.388257,0,1.098612,0.019803,0.693147,1.386294,1.383791,1.098612
buggy,buggy,buggy,buggy,0.693147,1.386294,1.386294,0.925024,0.018991,0.011039,5.803115,0,1.098612,1.332366,0.982078,1.609438,1.607436,1.386294
buggy,buggy,buggy,buggy,0.693147,1.609438,2.197225,1.319163,0.012606,0.025482,5.658611,0,1.098612,2.105353,0.48858,1.791759,1.778336,1.609438
clean,buggy,buggy,clean,0.693147,1.098612,1.098612,0.693147,0,0.007435,4.905275,0,1.098612,0,1.098612,1.94591,1.934416,1.791759
buggy,buggy,buggy,buggy,0.693147,1.098612,3.295837,1.674334,8.716044,0,0,0,0,0,0,2.302585,2.226783,1.386294
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.651437,0.054067,0.054067,3.332205,1,0.693147,2.9877,0.405465,0,0,0
clean,clean,clean,clean,0.693147,1.098612,1.94591,1.202882,0.201634,0.576688,5.936216,0,0.693147,3.109507,0.157004,0.693147,0.683097,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.704601,0.054021,0,5.938407,0,1.098612,2.258633,0.512824,1.098612,1.091923,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00545,0.002729,5.905362,0,0.693147,3.95967,1.386294,1.386294,1.381282,0
clean,clean,clean,clean,0.693147,0.693147,1.791759,1.1801,0.103087,0.000987,5.316157,0,0.693147,3.325396,0.182322,1.609438,1.60342,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.184571,0.071692,5.003946,1,1.098612,0.955511,1.098612,1.791759,1.783391,1.609438
buggy,clean,buggy,buggy,0.693147,1.609438,2.564949,1.334917,1.763369,0.021125,3.195402,0,1.098612,2.587012,0.350657,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.045281,0.005435,5.908083,0,1.098612,1.848455,1.609438,1.94591,1.93297,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.678516,0.015504,0.015504,5.081404,0,1.386294,1.413423,0.916291,2.079442,2.066863,1.791759
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.662835,0.206841,0.008475,4.774913,0,1.098612,2.886475,0.916291,2.197225,2.186051,1.94591
clean,clean,clean,clean,0.693147,1.098612,1.609438,1.069969,5.497168,0,0,0,0,0,0,2.302585,2.292535,2.079442
