buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0.693147,0.693147,0,0.693147,0,0.693147,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0.693147,0.693147,0,0.693147,0.00995,1.098612,0,0,0
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,1.098612,1.085189,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,1.098612,0,0.693147,0,1.098612,2.063058,1.386294,1.386294,1.376244,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.287682,0.287682,1.386294,0,1.098612,1.813195,1.609438,0.693147,0.678034,0.693147
clean,clean,clean,clean,0.693147,1.609438,2.833213,1.575136,0.000217,0.003037,6.356871,0,0.693147,0.00995,0.058269,1.386294,1.378766,0.693147
clean,clean,clean,clean,0.693147,2.079442,2.079442,1.336933,0.499701,0.499701,3.18387,0,0.693147,0.029559,0.131028,1.609438,1.60342,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.693147,6.873164,0,0.693147,0.536493,0.693147,1.791759,1.78507,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.03279,3.433987,0,0.693147,0.553885,0.693147,1.94591,1.940179,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.693147,5.09375,0,0.693147,0.14842,0.693147,2.302585,2.219203,2.079442
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.004494,0.004494,5.407172,0,0.693147,0.067659,1.386294,2.484907,2.411439,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.011561,0.002903,5.843544,0,0.693147,2.339881,1.386294,2.564949,2.475698,2.397895
