buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,0.693147,1.609438,1.791759,1.046561,5.953243,0,0,0,0.693147,0.139762,0.182322,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.005401,0.001803,6.318968,0,0.693147,1.015231,0.693147,0,0,0
clean,clean,clean,clean,1.098612,1.791759,2.079442,1.204734,0.075439,0.041215,6.342121,0,0.693147,1.064711,0.131028,1.098612,1.095273,1.386294
buggy,buggy,buggy,buggy,1.386294,2.197225,2.772589,1.307267,0.057251,0.020767,6.175306,1,0.693147,1.064711,0.067659,0.693147,0.693147,0.693147
clean,clean,clean,clean,1.386294,1.386294,1.386294,0.149009,0.013953,0.011111,7.585789,0,1.098612,0.536493,0.512824,1.098612,1.098612,1.609438
buggy,clean,buggy,buggy,1.098612,1.098612,1.386294,0.708897,0.035534,0.008804,6.029892,1,1.098612,1.52388,0.693147,1.386294,1.381282,1.791759
buggy,clean,buggy,buggy,1.098612,1.098612,1.098612,0.240111,0.04506,0.024391,6.410997,1,1.098612,1.499623,1.098612,1.609438,1.601406,2.079442
clean,clean,clean,clean,1.098612,2.484907,3.78419,1.760764,1.190731,0.002185,3.102791,0,1.098612,0.131028,0.113329,0,0,0
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.290645,0.033617,0,6.150603,0,1.386294,0,1.386294,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.491221,0.023482,0.002064,6.184149,0,1.386294,0,1.504077,1.098612,1.098612,1.098612
clean,clean,clean,buggy,1.098612,2.197225,2.197225,1.098632,0.12869,0.008547,6.206838,0,0.693147,2.025513,0.322083,1.386294,1.373716,1.609438
clean,clean,clean,clean,1.098612,1.098612,1.609438,0.860287,0.324131,0,5.515443,0,1.386294,0.215111,1.178655,1.609438,1.607436,1.609438
clean,clean,clean,clean,1.386294,1.386294,1.609438,0.758621,0.003185,0.16975,5.061012,0,1.386294,1.570697,1.252763,1.791759,1.786747,2.079442
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.164884,0.068993,0.000978,6.238325,0,1.386294,1.337629,1.871802,1.94591,1.937302,1.94591
clean,clean,clean,clean,1.386294,1.386294,1.386294,0.40591,0.279205,0.165291,5.625208,0,1.386294,2.099244,1.609438,2.079442,2.071913,2.397895
