buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,1.609438,1.609438,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.028988,0.028988,3.555348,0,0.693147,0.678034,0.693147,2.944439,2.933857,0.693147
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,0.024591,0.008265,5.488938,0,0.693147,0.916291,0.693147,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.182322,0,3.583519,0,0.693147,0.924259,0.693147,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,1.791759,2.890372,1.05115,0.029583,0.499611,6.357842,0,0.693147,1.449269,0.058269,1.098612,1.095273,1.098612
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.673109,5.66296,0,0,0,0,0,0,1.386294,1.383791,1.386294
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.681553,6.652863,0,0,0,0,0,0,1.609438,1.607436,1.609438
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.221476,8.49372,0,0,0,0,0,0,1.791759,1.790091,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.102415,0.009756,4.634729,0,0.693147,2.444085,0.693147,3.401197,3.372455,1.098612
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.226241,1.036092,0.012903,3.676301,0,0.693147,1.60342,0.405465,1.94591,1.925707,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.749237,0.653926,3.295837,0,1.098612,2.190536,1.098612,2.079442,2.061787,2.079442
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.358398,0.082692,4.762174,0,1.098612,2.217027,1.098612,2.197225,2.181547,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.158824,0,4.812184,0,0.693147,2.520917,0.693147,2.302585,2.288486,2.302585
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.671135,1.098612,0.64355,2.80336,0,1.098612,0.113329,0.916291,2.397895,2.385086,2.397895
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,0.074108,0.019048,5.056246,0,1.098612,0.364643,1.386294,2.484907,2.472328,2.484907
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.241162,0.09975,4.969813,0,1.098612,0.364643,1.098612,2.564949,2.553344,2.564949
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.137201,0,3.555348,0,0.693147,0.364643,0.693147,2.639057,2.628285,2.639057
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.014599,0.00489,5.32301,0,0.693147,2.56418,0.693147,2.70805,2.697326,2.70805
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.946785,0.105137,0.015713,4.99944,0,1.098612,1.623341,0.982078,2.772589,2.762538,2.772589
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.693147,5.181784,0,0.693147,3.014554,0.693147,2.833213,2.805177,2.833213
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.94971,0.015943,0.015943,5.234685,0,1.098612,3.054001,0.845868,2.944439,2.907993,2.944439
clean,clean,clean,clean,0.693147,0.693147,1.94591,0.825298,0.663952,0.693147,6.731018,0,0.693147,2.507972,0.285179,2.995732,2.961141,2.995732
clean,buggy,buggy,buggy,0.693147,1.386294,2.079442,0.718552,0.014837,0.141906,4.570268,0,0.693147,3.225255,0.131028,3.044522,3.011606,3.044522
clean,clean,clean,clean,0.693147,0.693147,2.833213,1.557763,0.22904,0.368445,2.992728,0,1.098612,3.099642,0.322083,3.091042,3.059646,3.091042
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.035091,0.035091,4.727388,0,0.693147,2.683758,1.098612,3.135494,3.105483,3.135494
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.149036,0,4.727388,0,1.098612,0.019803,1.386294,3.178054,3.149311,3.178054
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.03774,0.03774,4.875197,0,1.098612,0.019803,1.609438,3.218876,3.191299,3.218876
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.066939,4.875197,0,1.098612,1.350667,1.791759,3.73767,3.682358,1.386294
clean,buggy,buggy,buggy,0.693147,1.098612,2.772589,1.542394,0.038305,0.106221,5.145923,0,1.098612,3.039271,0.336472,3.295837,3.257712,3.295837
clean,clean,clean,clean,0.693147,1.098612,1.791759,1.167631,0.037611,0.03425,5.154447,0,1.098612,2.596001,0.875469,3.332205,3.285787,3.332205
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.215888,0.029676,5.117994,0,1.098612,0.307485,1.94591,3.367296,3.321432,3.367296
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,2.564949,0,0,0,0,0,0,3.401197,3.356897,3.401197
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.291806,4.804021,0,1.098612,2.195,1.94591,4.025352,3.964805,1.609438
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.174154,0.001947,0.434286,5.147494,0,1.098612,2.658159,1.386294,4.043051,3.981176,1.791759
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,3.806662,0,0,0,0,0,0,3.433987,3.380995,3.433987
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.080043,0.080043,2.564949,0,0.693147,1.60342,0.693147,3.465736,3.414443,3.465736
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.026404,0.023142,5.703782,0,1.098612,2.223542,1.098612,3.496508,3.446808,3.496508
buggy,buggy,buggy,buggy,0.693147,2.079442,2.397895,1.35207,0.051847,0.059711,5.200705,1,1.098612,2.865054,0.405465,3.526361,3.478158,3.526361
buggy,buggy,buggy,buggy,0.693147,1.098612,1.098612,0.528398,0.062583,0.002081,5.484797,1,1.098612,1.381282,1.252763,3.555348,3.506758,3.555348
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.126606,0.121186,5.78996,1,1.098612,0.00995,1.609438,3.583519,3.53602,3.583519
buggy,buggy,buggy,buggy,0.693147,1.791759,3.135494,1.410755,0.056937,0.088668,4.393337,0,1.098612,2.441477,0.647103,3.610918,3.562466,3.610918
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.065958,0.087011,3.806662,0,0.693147,2.022871,0.693147,3.637586,3.578227,3.637586
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.606136,0.154151,2.564949,0,0.693147,1.7492,1.386294,3.663562,3.60577,3.663562
buggy,clean,clean,clean,0.693147,1.098612,1.098612,0.141624,1.278405,0,3.806662,0,0.693147,3.135494,0.405465,3.688879,3.632574,3.688879
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.022728,0.011429,5.164786,0,1.098612,2.104134,1.791759,3.713572,3.652734,3.713572
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.660594,0.701052,0.105361,3.48124,0,0.693147,1.241269,1.386294,3.73767,3.678071,3.73767
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.06252,0,3.465736,0,0.693147,0.139762,1.791759,3.7612,3.702782,3.7612
buggy,buggy,buggy,buggy,0.693147,1.098612,1.386294,0.763932,0.141298,0.001685,5.291645,0,1.098612,2.988708,1.202972,3.78419,3.727138,3.78419
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.409203,0,4.49981,0,0.693147,1.88707,1.386294,4.025352,3.967268,3.806662
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.145585,0,4.905275,0,0.693147,0.14842,1.609438,4.043051,3.985645,3.828641
clean,clean,clean,clean,0.693147,1.386294,3.135494,1.541412,0.000114,0.68332,5.98713,0,1.098612,3.594569,0.239017,4.077537,4.002412,3.850148
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.233094,0,4.394449,0,1.098612,3.22605,2.197225,4.094345,4.020519,3.871201
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.019608,0,4.624973,0,1.098612,0.845868,2.302585,4.143135,4.06971,3.89182
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.05617,0.004435,5.420535,0,1.098612,3.406185,1.386294,4.158883,4.084799,3.912023
buggy,clean,clean,clean,0.693147,0.693147,1.791759,0.653791,0.103305,0.014271,5.277094,0,1.098612,3.126761,1.098612,4.174387,4.10132,3.931826
buggy,clean,clean,clean,0.693147,0.693147,1.098612,0.294507,0.71562,0.022473,3.135494,0,0.693147,3.46979,0.405465,4.189655,4.117736,3.951244
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00813,0.00813,5.505332,0,1.098612,4.123256,1.098612,4.204693,4.133886,3.970292
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.031749,0,4.543295,0,1.098612,2.95803,1.098612,4.219508,4.149779,3.988984
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.970292,0,0,0,0,0,0,4.234107,4.165424,4.007333
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.407635,0.207888,0.019725,4.840242,1,1.098612,3.919991,1.609438,4.290459,4.209457,4.025352
buggy,buggy,buggy,buggy,0.693147,1.386294,1.791759,0.907593,0.049382,0.013234,5.42142,1,1.098612,3.394173,0.955511,4.317488,4.221271,4.043051
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.009852,0.019608,4.624973,1,0.693147,2.698,0.693147,4.330733,4.235844,4.060443
buggy,clean,clean,clean,0.693147,0.693147,1.098612,0.660666,0.423484,0.006042,4.424847,0,1.098612,3.826465,0.916291,4.343805,4.233382,4.077537
clean,clean,clean,buggy,0.693147,1.098612,1.386294,0.78868,0.126705,0.154416,5.185541,0,1.098612,3.983413,0.845868,4.356709,4.247209,4.094345
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.060381,5.488938,0,1.098612,2.855895,2.302585,4.369448,4.256038,4.110874
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.014926,0.014926,4.89784,1,1.098612,4.111038,1.098612,3.688879,3.621671,0
buggy,buggy,buggy,buggy,0.693147,1.098612,1.098612,0.390061,0.081248,0.036927,5.078294,1,1.098612,3.296577,1.386294,4.382027,4.268158,4.127134
buggy,buggy,buggy,buggy,0.693147,1.386294,3.135494,1.462512,0.055845,0.076056,4.723753,0,1.098612,4.088159,0.598837,4.394449,4.277499,4.143135
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.531992,0.011919,0.138614,4.941642,0,1.098612,4.243913,0.845868,4.406719,4.291281,4.158883
clean,clean,clean,clean,0.693147,1.098612,1.609438,0.913254,0.099057,0.483157,4.943427,0,1.098612,4.187835,0.693147,4.418841,4.290459,4.174387
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.009756,0,5.32301,0,1.098612,1.950187,1.94591,4.430817,4.30393,4.189655
buggy,buggy,buggy,buggy,0.693147,1.098612,1.791759,1.025794,0.48583,0.472876,4.570579,0,1.098612,3.736717,0.875469,4.442651,4.315353,4.204693
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.550164,0.031605,0.116763,4.70048,0,1.098612,1.495149,1.609438,4.454347,4.328626,4.219508
buggy,buggy,buggy,buggy,0.693147,0.693147,1.386294,0.852106,0.023576,0.072828,5.127944,0,1.098612,1.205971,1.541159,4.465908,4.341595,4.234107
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.056155,0,5.627621,0,0.693147,4.573783,0.693147,3.78419,3.699325,0.693147
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.152526,0.033523,5.17615,0,1.098612,2.292535,1.791759,4.477337,4.349891,4.248495
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.402837,0,5.541264,0,1.098612,4.231785,1.098612,4.488636,4.362716,4.26268
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.916291,0.001646,0.011466,5.31483,0,1.098612,3.365225,1.541159,4.49981,4.375002,4.276666
buggy,buggy,buggy,buggy,0.693147,1.386294,1.791759,0.769395,0.140345,0.160763,5.271973,0,1.098612,3.526949,0.955511,4.51086,4.377265,4.290459
buggy,clean,clean,clean,0.693147,0.693147,2.564949,1.356389,0.095214,0.192069,5.08246,0,1.098612,4.064744,0.774727,4.521789,4.389747,4.304065
clean,clean,clean,clean,0.693147,0.693147,1.94591,1.177405,1.39776,0,1.574846,0,1.098612,2.430978,0.405465,4.532599,4.402074,4.317488
buggy,buggy,buggy,buggy,0.693147,1.098612,1.098612,0.279718,0.005055,0.129723,5.693732,0,1.098612,2.145931,1.386294,4.543295,4.412192,4.330733
clean,clean,clean,clean,0.693147,0.693147,2.079442,0.874789,0.271727,0.287043,5.137503,0,1.098612,3.614156,0.760806,4.553877,4.424248,4.343805
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.384579,0.81093,0,1.609438,0,0.693147,0.364643,0.405465,4.564348,4.43616,4.356709
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,3.806662,0,0,0,0,0,0,4.574711,4.44758,4.369448
buggy,buggy,buggy,clean,0.693147,1.609438,1.791759,0.472042,0.257316,0.011223,4.495355,0,1.098612,3.509155,0.955511,4.584967,4.459219,4.382027
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.105361,0.105361,2.302585,0,0.693147,0.10436,0.693147,4.59512,4.470724,4.394449
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,5.484797,5.371103,0
clean,clean,clean,clean,0.693147,1.098612,1.386294,0.910763,0.033061,0.108716,4.787492,0,1.098612,1.948763,1.791759,4.60517,4.479947,4.406719
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.583519,0,0,0,0,0,0,4.615121,4.491217,4.418841
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.616986,0.4099,4.330733,0,1.098612,4.362461,1.098612,4.624973,4.502362,4.430817
buggy,buggy,buggy,buggy,0.693147,1.386294,1.386294,0.111411,0.442272,0.439338,5.395126,1,1.098612,1.98238,1.541159,4.634729,4.504244,4.442651
