buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,1,4,5,1.84784,384,0,0,0,1,0.15,0.2,1,1,1
clean,clean,clean,clean,1,1,1,0,3,1,554,0,1,1.76,1,0,0,0
clean,clean,clean,clean,2,5,7,2.33587,311,167,567,0,1,1.9,0.14,2,1.99,3
buggy,buggy,buggy,buggy,3,8,15,2.69606,424,151,479.73,1,1,1.9,0.07,1,1,1
clean,clean,clean,clean,3,3,3,0.160683,83,66,1969,0,2,0.71,0.67,2,2,4
buggy,clean,buggy,buggy,2,2,3,1.03175,45,11,414.67,1,2,3.59,1,3,2.98,5
buggy,clean,buggy,buggy,2,2,2,0.27139,56,30,607.5,1,2,3.48,2,4,3.96,7
clean,clean,clean,clean,2,11,43,4.81688,2093,2,21.26,0,2,0.14,0.12,0,0,0
clean,clean,clean,clean,1,1,2,0.33729,32,0,468,0,3,0,3,1,1,1
clean,clean,clean,clean,1,1,2,0.63431,23,2,484,0,3,0,3.5,2,2,2
clean,clean,clean,buggy,2,8,8,2.00006,544,34,495.13,0,1,6.58,0.38,3,2.95,4
clean,clean,clean,clean,2,2,4,1.36384,379,0,247.5,0,3,0.24,2.25,4,3.99,4
clean,clean,clean,clean,3,3,4,1.13533,2,116,156.75,0,3,3.81,2.5,5,4.97,7
clean,clean,clean,clean,1,1,2,0.179256,73,1,511,0,3,2.81,5.5,6,5.94,6
clean,clean,clean,clean,3,3,3,0.500668,267,149,276.33,0,3,7.16,4,7,6.94,10
buggy,clean,clean,clean,2,6,6,2.46515,43,1,1096.33,0,3,9.24,2.17,1,0.97,2
clean,clean,clean,clean,2,2,3,0.686151,49,3,393.67,0,3,0.44,4.67,8,7.91,12
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,9,8.91,0
clean,clean,clean,clean,1,1,1,0,8,0,567,0,3,0,15,10,9.91,9
clean,clean,clean,clean,1,1,1,0,1,1,615,0,2,0.66,7,11,10.89,10
